nohup: ignoring input
🚀 系统监控Agent启动！准备建立数据库连接池...
✅ 数据库网络打通！准备开启 5 秒级轮询上报...
==================================================
✅ 识别到本机的物理核载名: xiu-virtual-machine
[20:12:37] 📡 成功上报 -> 内存: 45.28% | CPU: 1.02%
[20:12:42] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:12:47] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:12:52] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:12:57] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:13:02] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:13:07] 📡 成功上报 -> 内存: 45.27% | CPU: 5.85%
[20:13:12] 📡 成功上报 -> 内存: 45.27% | CPU: 2.59%
[20:13:17] 📡 成功上报 -> 内存: 44.56% | CPU: 7.94%
[20:13:22] 📡 成功上报 -> 内存: 45.63% | CPU: 90.00%
[20:13:27] 📡 成功上报 -> 内存: 45.94% | CPU: 1.02%
[20:13:32] 📡 成功上报 -> 内存: 45.94% | CPU: 3.65%
[20:13:37] 📡 成功上报 -> 内存: 46.05% | CPU: 0.51%
[20:13:42] 📡 成功上报 -> 内存: 46.05% | CPU: 2.05%
[20:13:47] 📡 成功上报 -> 内存: 46.05% | CPU: 1.02%
[20:13:52] 📡 成功上报 -> 内存: 46.05% | CPU: 1.02%
[20:13:57] 📡 成功上报 -> 内存: 46.04% | CPU: 0.51%
[20:14:02] 📡 成功上报 -> 内存: 46.04% | CPU: 0.00%
[20:14:07] 📡 成功上报 -> 内存: 46.03% | CPU: 1.02%
[20:14:12] 📡 成功上报 -> 内存: 46.03% | CPU: 0.00%
[20:14:17] 📡 成功上报 -> 内存: 46.03% | CPU: 0.00%
[20:14:22] 📡 成功上报 -> 内存: 46.03% | CPU: 0.00%
[20:14:27] 📡 成功上报 -> 内存: 46.02% | CPU: 1.02%
[20:14:32] 📡 成功上报 -> 内存: 46.02% | CPU: 0.51%
[20:14:37] 📡 成功上报 -> 内存: 46.02% | CPU: 0.00%
[20:14:42] 📡 成功上报 -> 内存: 46.02% | CPU: 0.51%
[20:14:47] 📡 成功上报 -> 内存: 46.01% | CPU: 0.00%
[20:14:52] 📡 成功上报 -> 内存: 46.01% | CPU: 0.00%
[20:14:57] 📡 成功上报 -> 内存: 46.01% | CPU: 0.00%
[20:15:02] 📡 成功上报 -> 内存: 46.01% | CPU: 1.01%
[20:15:07] 📡 成功上报 -> 内存: 46.00% | CPU: 0.51%
[20:15:12] 📡 成功上报 -> 内存: 46.00% | CPU: 0.51%
[20:15:17] 📡 成功上报 -> 内存: 46.00% | CPU: 0.00%
